system:index,Biome_Type,Bulk_Density,Carbon_Content,Clay_Content,Human_Footprint,Max_DEF,Max_VPD,Pre_NDVI,Ref_ID,Sand_Content,TWI,aspect,dNBR,def,elevation,esa_lc_2021,event_start,gfc_lossyear,pdsi,pr,slope,soil,tmmx,vpd,.geo,Prob_Arc_1,Prob_Arc_2,Prob_Arc_3,Predicted_Dominant_Archetype
00000000000000000039,12.0,117.0,6.0,19.0,0.2004867196083068,2215.0,186.0,0.4927908325568522,59,66.0,14.961933108195208,302.6931232280267,-0.0245536605627569,638.6041666666666,263.0,10,2010,24.0,-216.59375,83.33333333333333,1.2697548866271973,1212.5,230.30208333333331,92.02083333333331,"{""type"":""Point"",""coordinates"":[116.01265506255407,-32.7877165367749]}",0.09212973,0.6749616,0.2066013,Archetype_2
0000000000000000003a,12.0,117.0,6.0,19.0,0.2004867196083068,2215.0,186.0,0.4927908325568522,60,66.0,14.961933108195208,302.6931232280267,-0.0245536605627569,638.6041666666666,263.0,10,2010,24.0,-216.59375,83.33333333333333,1.2697548866271973,1212.5,230.30208333333331,92.02083333333331,"{""type"":""Point"",""coordinates"":[116.01121031381277,-32.786427856570455]}",0.09212973,0.6749616,0.2066013,Archetype_2
000000000000000002d2,1.0,114.0,5.0,29.0,0.4070719480514526,102.0,74.0,0.7770709326065861,801,45.0,22.93051332416633,141.33546831371635,0.0197688930922518,2.0729166666666665,379.0,10,2010,12.0,223.86458333333331,384.4270833333333,0.1237337961792945,474.5625,288.2708333333333,46.625,"{""type"":""Point"",""coordinates"":[-77.61000280647171,-1.0700014296838194]}",0.42425215,0.60723966,0.17805505,Archetype_2
0000000000000000003c,12.0,118.0,7.0,15.0,0.218108981847763,2361.0,203.0,0.5165065097588359,62,75.0,15.946637611976453,146.0465479417623,0.0148365278620139,831.6770833333334,290.0,10,2010,17.0,-148.21875,60.51041666666666,0.1630621999502182,466.3541666666667,235.23958333333331,100.66666666666669,"{""type"":""Point"",""coordinates"":[116.25319680978119,-31.918838401005704]}",0.07080497,0.4060823,0.729904,Archetype_3
000000000000000000e1,5.0,84.0,25.0,15.0,0.0735483467578888,409.0,90.0,0.3397364356206858,246,46.0,18.3046116924396,357.0332516669099,0.033027503447507,24.48958333333333,868.0,10,2006,6.0,41.22916666666666,59.63541666666666,2.8901708126068115,667.4270833333334,47.01041666666666,28.28125,"{""type"":""Point"",""coordinates"":[88.85053595570547,54.50066254687685]}",0.18563215,0.58754534,0.82094127,Archetype_3
00000000000000000179,6.0,82.0,39.0,13.0,0.0390597619116306,544.0,84.0,0.3851788923471963,410,53.0,,,-0.0052379612731116,47.04166666666666,,10,1999,8.0,-130.60416666666666,49.489583333333336,,748.0104166666666,56.65625,25.61458333333333,"{""type"":""Point"",""coordinates"":[44.16685192405291,62.98065987504438]}",0.22430402,0.49372286,0.2016086,Archetype_2
0000000000000000042d,4.0,144.0,4.0,13.0,0.0778971463441848,1384.0,193.0,,1219,29.0,15.98348431335379,90.0,,158.5,228.0,10,1978,5.0,76.375,97.41666666666669,0.5798399448394775,1425.8229166666667,203.84375,72.5625,"{""type"":""Point"",""coordinates"":[-90.95926713938529,36.88062283440865]}",0.56258583,0.13273212,0.7189269,Archetype_3
000000000000000004bc,6.0,87.0,24.0,12.0,0.4929085373878479,1054.0,103.0,0.5254707841532532,1393,54.0,,,0.1123771005218078,61.114583333333336,,10,1990,12.0,-4.041666666666667,52.125,,956.0208333333334,78.02083333333333,29.33333333333333,"{""type"":""Point"",""coordinates"":[25.778999601191845,61.033000339617125]}",0.4142674,0.26966992,0.19978575,Archetype_1
000000000000000004be,4.0,89.0,32.0,16.0,0.5462003946304321,1253.0,95.0,0.4574510697746108,1395,58.0,,,-0.1240538042449744,87.95833333333333,,10,1990,12.0,-15.572916666666666,53.083333333333336,,972.3541666666666,91.45833333333331,25.666666666666668,"{""type"":""Point"",""coordinates"":[21.851998617352614,60.530999202121244]}",0.32261458,0.81702816,0.037008267,Archetype_2
00000000000000000500,12.0,124.0,7.0,22.0,0.1890071928501129,1731.0,151.0,0.341431379838267,1479,40.0,14.477396720248978,99.2528913386482,0.0519601403302196,507.96875,1289.0,10,1994,6.0,-172.94791666666666,41.84375,0.6609162092208862,75.97916666666667,154.5,63.4375,"{""type"":""Point"",""coordinates"":[-1.017000554562562,40.95000291488441]}",0.63760334,0.0121429255,0.09279193,Archetype_1
