Ref_ID,long,lat,event_start,gfc_lossyear,driver_class,esa_lc_2021
2,,,1970,,,20
401,,,1970,,,30
402,,,1970,,,10
1287,,,1970,,1,10
1288,,,1970,,,10
400,,,1975,,4,10
315,,,1976,,5,30
721,,,1976,,,10
1522,,,1977,,4,10
8,,,1978,,6,10
414,,,1978,,4,10
677,,,1978,,4,10
678,,,1978,,,10
679,,,1978,,6,10
680,,,1978,,,10
681,,,1978,,4,10
682,,,1978,,6,10
683,,,1978,,4,10
684,,,1978,,1,10
747,,,1978,,,10
748,,,1978,25,,10
749,,,1978,,,10
750,,,1978,25,,10
1195,,,1978,,1,10
1219,,,1978,5,4,10
1261,,,1978,,,10
1300,,,1978,,5,10
1201,,,1979,,,40
1225,,,1980,,,80
4,,,1982,,,60
412,,,1982,,,10
1260,,,1982,,,10
1289,,,1982,,,30
1290,,,1982,,,30
1291,,,1982,,,30
1292,,,1982,,,50
1293,,,1982,,,50
1294,,,1982,,,40
1295,,,1982,,,40
1296,,,1982,,,50
1297,,,1982,,,30
1298,,,1982,,,40
1299,,,1982,,,30
1283,,,1983,,,20
1565,,,1983,,4,10
1566,,,1983,,4,10
1567,,,1983,,4,10
1568,,,1983,,4,10
1569,,,1983,22,4,30
1570,,,1983,,4,10
1571,,,1983,,4,10
1572,,,1983,,4,10
1573,,,1983,,4,10
1574,,,1983,22,4,30
713,,,1984,,4,10
1196,,,1984,,,10
1223,,,1984,,,10
1203,,,1985,,,10
1215,,,1985,,,10
1218,,,1985,,,10
1226,,,1985,,,10
1227,,,1985,,4,10
1230,,,1985,,5,10
413,,,1986,,,20
473,,,1986,,,20
474,,,1986,,,20
475,,,1986,,,20
1220,,,1986,4,4,10
1221,,,1986,,4,10
1222,,,1986,,6,10
1228,,,1986,,7,10
1229,,,1986,,,10
1320,,,1986,,,10
1321,,,1986,,,10
1322,,,1986,,,10
472,,,1987,,,20
690,,,1987,,7,10
696,,,1987,,7,10
708,,,1987,,4,30
709,,,1987,,,10
710,,,1987,,4,30
1202,,,1987,,,10
1224,,,1987,,,10
471,,,1988,,,10
662,,,1988,,4,10
663,,,1988,,4,10
664,,,1988,,4,30
665,,,1988,,4,10
666,,,1988,,4,30
667,,,1988,,4,30
668,,,1988,4,4,10
669,,,1988,,4,10
670,,,1988,,4,30
671,,,1988,,6,10
672,,,1988,,4,10
673,,,1988,,4,10
674,,,1988,,,40
689,,,1988,,2,10
693,,,1988,5,7,10
1316,,,1988,,,10
1,,,1989,,,20
1235,,,1989,,4,30
1236,,,1989,,,10
1404,,,1989,,4,10
1433,,,1989,,4,10
1434,,,1989,,4,10
1435,,,1989,,4,30
1436,,,1989,,,30
1437,,,1989,,,10
1438,,,1989,,,40
1439,,,1989,,4,10
1440,,,1989,,,40
1441,,,1989,,,10
1442,,,1989,,,30
1443,,,1989,,,40
1444,,,1989,,4,50
1445,,,1989,,4,50
1446,,,1989,,4,10
1447,,,1989,,,20
1448,,,1989,,1,10
1449,,,1989,,,10
1450,,,1989,,,40
1451,,,1989,,,50
1452,,,1989,,,40
1453,,,1989,,4,10
1454,,,1989,,,10
1455,,,1989,,,10
1456,,,1989,,,30
1457,,,1989,,4,10
1458,,,1989,,,40
1459,,,1989,,4,10
1460,,,1989,,,10
1461,,,1989,,,10
1462,,,1989,,1,30
1463,,,1989,,,30
1464,,,1989,,1,40
675,,,1990,,,20
