Ref_ID,Year,esa_lc_2021,event_start,AGB_tons_ha,gfc_lossyear
59,2007,10,2010,129,24
60,2007,10,2010,97,24
801,2007,10,2010,278,12
62,2007,10,2010,7,17
246,2007,10,2006,151,6
408,2007,10,1999,79,10
410,2007,10,1999,134,8
1219,2007,10,1978,128,5
1384,2007,10,2003,196,10
1393,2007,10,1990,133,12
1395,2007,10,1990,74,12
1479,2007,10,1994,90,6
1480,2007,10,1994,48,6
1552,2007,10,2004,128,11
58,2007,10,2010,166,24
130,2007,10,2010,26,19
158,2007,10,2010,50,24
171,2007,10,2010,22,15
208,2007,10,2010,34,19
234,2007,10,2010,20,17
235,2007,10,2010,68,17
237,2007,10,2010,9,17
288,2007,10,2002,17,19
490,2007,10,1997,44,19
567,2007,10,1997,51,19
703,2007,10,2002,82,5
727,2007,10,1997,6,3
824,2007,10,2002,43,10
825,2007,10,2002,52,8
930,2007,10,2015,,14
693,2007,10,1988,,5
928,2007,20,2015,,13
1556,2007,20,2000,3,6
407,2007,30,1999,140,10
409,2007,30,1999,,9
700,2007,30,1991,,11
701,2007,30,1991,,10
492,2007,30,1997,49,10
694,2007,30,1994,90,17
765,2007,30,2012,52,3
929,2007,30,2015,59,12
1593,2007,30,2000,,7
5,2007,10,1999,99,
13,2007,10,2010,98,
22,2007,10,2010,147,
23,2007,10,2010,318,
25,2007,10,2010,166,
26,2007,10,2010,244,
28,2007,10,2010,114,
29,2007,10,2010,165,
38,2007,10,2010,310,
61,2007,10,2010,231,
63,2007,10,2010,79,
64,2007,10,2010,322,
74,2007,10,2010,40,
75,2007,10,2010,75,
76,2007,10,2010,81,
77,2007,10,2010,63,
78,2007,10,2010,54,
239,2007,10,2010,173,
240,2007,10,2010,202,
245,2007,10,2003,,
250,2007,10,2002,,
253,2007,10,2002,2,
261,2007,10,2002,11,
262,2007,10,2002,29,
263,2007,10,2002,26,
265,2007,10,2002,11,
266,2007,10,2002,8,
267,2007,10,2002,17,
269,2007,10,2002,3,
273,2007,10,2002,1,
274,2007,10,2002,47,
281,2007,10,2002,11,
284,2007,10,2002,,
285,2007,10,2002,3,
286,2007,10,2002,5,
287,2007,10,2002,,
289,2007,10,2002,18,
297,2007,10,2002,21,
298,2007,10,2002,4,
299,2007,10,2002,,
301,2007,10,2002,,
304,2007,10,2002,,
308,2007,10,2002,3,
310,2007,10,2002,59,
311,2007,10,2002,6,
325,2007,10,2007,61,
326,2007,10,2007,57,
328,2007,10,2007,57,
339,2007,10,2007,56,
340,2007,10,2007,56,
341,2007,10,2007,56,
342,2007,10,2007,59,
344,2007,10,2007,59,
345,2007,10,2007,56,
346,2007,10,2007,56,
353,2007,10,2007,57,
354,2007,10,2007,57,
355,2007,10,2007,53,
356,2007,10,2007,57,
357,2007,10,2007,57,
358,2007,10,2007,57,
359,2007,10,2007,57,
360,2007,10,2007,44,
362,2007,10,2007,59,
363,2007,10,2007,59,
364,2007,10,2007,59,
365,2007,10,2007,56,
366,2007,10,2007,56,
367,2007,10,2007,53,
368,2007,10,2007,56,
369,2007,10,2007,56,
370,2007,10,2007,27,
371,2007,10,2007,44,
373,2007,10,2007,34,
374,2007,10,2007,34,
375,2007,10,2007,34,
376,2007,10,2007,24,
377,2007,10,2007,24,
379,2007,10,2007,53,
382,2007,10,2007,44,
383,2007,10,2007,20,
384,2007,10,2007,56,
385,2007,10,2007,56,
386,2007,10,2007,20,
387,2007,10,2007,20,
388,2007,10,2007,20,
389,2007,10,2007,20,
390,2007,10,2007,20,
398,2007,10,2005,54,
402,2007,10,1970,37,
404,2007,10,1996,14,
412,2007,10,1982,447,
415,2007,10,2001,49,
418,2007,10,1999,26,
419,2007,10,1999,22,
420,2007,10,2012,142,
421,2007,10,1994,150,
422,2007,10,2005,146,
423,2007,10,2005,131,
424,2007,10,2005,135,
425,2007,10,2005,135,
426,2007,10,2005,146,
427,2007,10,2005,119,
428,2007,10,2005,153,
429,2007,10,2005,138,
430,2007,10,2005,150,
431,2007,10,2005,138,
432,2007,10,2005,155,
433,2007,10,2005,125,
434,2007,10,2005,125,
435,2007,10,2005,131,
436,2007,10,2008,85,
437,2007,10,2008,60,
438,2007,10,2008,15,
439,2007,10,2008,74,
440,2007,10,2008,64,
441,2007,10,2008,49,
442,2007,10,2008,41,
444,2007,10,2005,185,
447,2007,10,2005,153,
448,2007,10,2005,63,
449,2007,10,2005,162,
450,2007,10,2005,89,
451,2007,10,2005,87,
452,2007,10,2005,111,
454,2007,10,2005,91,
455,2007,10,1994,100,
457,2007,10,1994,85,
459,2007,10,1994,92,
460,2007,10,1994,91,
461,2007,10,1994,80,
462,2007,10,1994,103,
463,2007,10,1994,96,
464,2007,10,2005,110,
471,2007,10,1988,229,
477,2007,10,2010,11,
479,2007,10,1997,6,
480,2007,10,1997,53,
482,2007,10,1997,6,
487,2007,10,1997,15,
489,2007,10,1997,52,
494,2007,10,1997,107,
496,2007,10,1997,72,
498,2007,10,1997,10,
504,2007,10,1997,16,
511,2007,10,1997,57,
519,2007,10,1997,31,
526,2007,10,1997,44,
529,2007,10,1997,39,
530,2007,10,1997,,
531,2007,10,1997,85,
532,2007,10,1997,68,
533,2007,10,1997,2,
534,2007,10,1997,63,
535,2007,10,1997,55,
536,2007,10,1997,21,
539,2007,10,1997,58,
540,2007,10,1997,117,
542,2007,10,1997,110,
543,2007,10,1997,85,
544,2007,10,1997,49,
545,2007,10,1997,66,
546,2007,10,1997,169,
547,2007,10,1997,102,
550,2007,10,1997,45,
552,2007,10,1997,127,
553,2007,10,1997,8,
554,2007,10,1997,5,
557,2007,10,1997,1,
558,2007,10,1997,7,
560,2007,10,1997,13,
561,2007,10,1997,87,
562,2007,10,1997,5,
565,2007,10,1997,44,
573,2007,10,1997,25,
577,2007,10,1997,25,
