,Ref_ID,Year,driver_class,esa_lc_2021,event_start,Height_m,gfc_lossyear
,59,2020,,10,2010,21,24
,60,2020,,10,2010,26,24
,801,2020,3,10,2010,34,12
,62,2020,4,10,2010,10,17
,246,2020,4,10,2006,24,6
,408,2020,4,10,1999,4,10
,410,2020,4,10,1999,6,8
,1219,2020,4,10,1978,26,5
,1384,2020,4,10,2003,22,10
,1393,2020,4,10,1990,5,12
,1395,2020,4,10,1990,17,12
,1479,2020,4,10,1994,16,6
,1480,2020,4,10,1994,16,6
,1552,2020,4,10,2004,24,11
,58,2020,5,10,2010,25,24
,130,2020,5,10,2010,20,19
,158,2020,5,10,2010,21,24
,171,2020,5,10,2010,9,15
,208,2020,5,10,2010,22,19
,234,2020,5,10,2010,17,17
,235,2020,5,10,2010,18,17
,237,2020,5,10,2010,12,17
,288,2020,5,10,2002,14,19
,490,2020,5,10,1997,1,19
,567,2020,5,10,1997,0,19
,703,2020,5,10,2002,29,5
,727,2020,5,10,1997,8,3
,824,2020,5,10,2002,29,10
,825,2020,5,10,2002,26,8
,930,2020,5,10,2015,11,14
,693,2020,7,10,1988,18,5
,928,2020,5,20,2015,9,13
,1556,2020,5,20,2000,10,6
,407,2020,4,30,1999,4,10
,409,2020,4,30,1999,7,9
,700,2020,4,30,1991,0,11
,701,2020,4,30,1991,0,10
,492,2020,5,30,1997,0,10
,694,2020,5,30,1994,0,17
,765,2020,5,30,2012,10,3
,929,2020,5,30,2015,7,12
,1593,2020,5,30,2000,0,7
,5,2020,,10,1999,34,
,13,2020,,10,2010,17,
,22,2020,,10,2010,18,
,23,2020,,10,2010,22,
,25,2020,,10,2010,18,
,26,2020,,10,2010,20,
,28,2020,,10,2010,20,
,29,2020,,10,2010,21,
,38,2020,,10,2010,24,
,61,2020,,10,2010,25,
,63,2020,,10,2010,20,
,64,2020,,10,2010,25,
,74,2020,,10,2010,12,
,75,2020,,10,2010,24,
,76,2020,,10,2010,17,
,77,2020,,10,2010,19,
,78,2020,,10,2010,19,
,239,2020,,10,2010,23,
,240,2020,,10,2010,30,
,245,2020,,10,2003,0,
,250,2020,,10,2002,1,
,253,2020,,10,2002,15,
,261,2020,,10,2002,8,
,262,2020,,10,2002,9,
,263,2020,,10,2002,13,
,265,2020,,10,2002,12,
,266,2020,,10,2002,7,
,267,2020,,10,2002,16,
,269,2020,,10,2002,8,
,273,2020,,10,2002,13,
,274,2020,,10,2002,8,
,281,2020,,10,2002,14,
,284,2020,,10,2002,11,
,285,2020,,10,2002,10,
,286,2020,,10,2002,18,
,287,2020,,10,2002,3,
,289,2020,,10,2002,15,
,297,2020,,10,2002,0,
,298,2020,,10,2002,11,
,299,2020,,10,2002,9,
,301,2020,,10,2002,14,
,304,2020,,10,2002,10,
,308,2020,,10,2002,18,
,310,2020,,10,2002,13,
